bacati,baciti
raznježiti,raznježivati
razodjenuti,razodijevati
razoriti,razarati
razoružati,razoružavati
razoružavati,razoružati
razotkriti,razotkrivati
razotkrivati,razotkriti
razočarati,razočaravati
razraditi,razrađivati
razrađivati,razraditi
razumijevati,razumjeti
razumjeti,razumijevati
razuvjeriti,razuvjeravati
razvaliti,razvaljivati
razveseliti,razveseljivati
razvesti,razvoditi
razvezati,razvezivati
razvijati,razviti
razviti,razvijati
razvoditi,razvesti
razvodniti,razvodnjavati
razvoziti,razvesti
razvrstati,razvrstavati
razvrstavati,razvrstati
rađati,roditi
raširiti,raširivati
raširivati,raširiti
raščlaniti,raščlanjivati
riješiti,rješavati
rješavati,riješiti
roditi,rađati
rušiti,srušiti
sabirati,sabrati
sabiti,sabijati
sablazniti,sablažnjivati
sabrati,sabirati
sadržati,sadržavati
sadržavati,sadržati
sagibati,sagnuti
sagledati,sagledavati
sagnuti,sagibati
sagorjeti,sagorijevati
sagraditi,sagrađivati
sagriješiti,sagrešivati
sahraniti,sahranjivati
sakriti,sakrivati
sakrivati,sakriti
sakupiti,sakupljati
sakupljati,sakupiti
saopćiti,saopćivati
sapeti,sapinjati
sapinjati,sapeti
sasjeći,sasijecati
sastajati,sastati
sastati,sastajati
sastaviti,sastavljati
sastavljati,sastaviti
satirati,satrti
satrti,satirati
savijati,saviti
savinuti,savijati
saviti,viti
savladati,savladavati
savladavati,savladati
savlađivati,savladati
sazivati,sazvati
saznati,saznavati
sazreti,sazrijevati
sazrijevati,sazreti
sazvati,sazivati
sačekati,sačekivati
sačiniti,sačinjavati
sačinjavati,sačiniti
sašiti,šiti
sažalijevati,sažaliti
sažaliti,sažalijevati
sažeti,sažimati
sažimati,sažeti
produživati,produžiti
sezati,segnuti
shvatiti,shvaćati
sići,silaziti
sjahati,sjahivati
sjedati,sjesti
sjediniti,sjedinjavati
sjediti,sjedati
sjesti,sjedati
sjetiti,sjećati
sjećati,sjetiti
skakati,skočiti
skameniti,skamenjivati
skidati,skinuti
skinuti,skidati
sklanjati,skloniti
sklapati,sklopiti
skloniti,sklanjati
sklopiti,sklapati
uklapati,uklopiti
priključiti,priključivati
skočiti,skakati
skratiti,skraćivati
skraćivati,skratiti
skrenuti,skretati
skretati,skrenuti
skrpati,skrpavati
skrstiti,skrštavati
skucati,skucavati
skupljati,skupiti
skutriti,skutrivati
slediti,sledovati
slijediti,sljedovati
sljubiti,sljubljivati
slomiti,slamati
složiti,slagati
smaknuti,smicati
smalaksati,smalaksavati
smanjiti,smanjivati
smanjivati,smanjiti
smatrati,smotriti
smežurati,smežuravati
smijati,smiješiti
smijeniti,smjenjivati
smiriti,smirivati
smirivati,smiriti
smisliti,smišljati
smišljati,smisliti
smjenjivati,smijeniti
smjestiti,smještati
smještati,smjestiti
smoći,smagati
smrskati,smrskavati
smrzavati,smrznuti
smrznuti,smrzavati
snabdijevati,snabdjeti
snabdjeti,snabdijevati
snaći,snalaziti
snebivati,snebiti
snimati,snimiti
snimiti,snimati
sniziti,snizivati
snižavati,sniziti
spadati,spasti
spajati,spojiti
spaliti,spaljivati
spasiti,spašavati
spasti,spadati
spiskati,spiskavati
spjevati,spjevavati
spljoštiti,spljošćivati
spojiti,spajati
spomenuti,spominjati
spominjati,spomenuti
spopadati,spopasti
sporazumijevati,sporazumjeti
sporazumjeti,sporazumijevati
spoznati,spoznavati
spoznavati,spoznati
sprati,spirati
spremati,spremiti
spremiti,spremati
sprečavati,spriječiti
sprijateljiti,sprijateljivati
spriječiti,sprečavati
sprovesti,sprovoditi
spustiti,spuštati
sputati,sputavati
sputavati,sputati
spuštati,spustiti
sračunati,sračunavati
srediti,sređivati
sresti,sretati
sretati,sresti
sređivati,srediti
srkati,srknuti
srknuti,srkati
srnuti,srtati
stajati,stati
stati,stajati
staviti,stavljati
stavljati,staviti
steći,stjecati
stignuti,stizati
stiskati,stisnuti
stisnuti,stiskati
stizati,stignuti
stišati,stišavati
stišavati,stišati
stopiti,stapati
stradati,stradavati
stradavati,stradati
strići,strizati
strugati,strugnuti
stupati,stupiti
stupiti,stupati
stvarati,stvoriti
stvoriti,stvarati
sukobiti,sukobljavati
sukobljavati,sukobiti
suočavati,suočiti
suočiti,suočavati
suprotstaviti,suprotstavljati
suprotstavljati,suprotstaviti
survati,survavati
susresti,susretati
susretati,susresti
sustati,sustajati
sustizati,sustignuti
uzići,uziti
suzbijati,suzbiti
suzbiti,suzbijati
suzdržati,suzdržavati
suzdržavati,suzdržati
suziti,suzivati
sužavati,suziti
svanuti,svitati
svariti,svarivati
svesti,svoziti
svezati,svezivati
svidjeti,sviđati
svitati,svanuti
sviđati,svidjeti
svladati,svladavati
svladavati,svladati
svratiti,svraćati
svraćati,svratiti
svrstati,svrstavati
svršavati,svršiti
svršiti,svršavati
uzvratiti,uzvraćati
svući,svlačiti
taknuti,ticati
ticati,taknuti
trepnuti,treptati
treptati,trepnuti
trljati,trti
trzati,trznuti
tući,tucati
ubaciti,ubacivati
ubacivati,ubaciti
ubijati,ubiti
ubirati,ubrati
ubiti,ubijati
ublažiti,ublažavati
ubosti,ubadati
ubrati,ubirati
ubrizgati,ubrizgavati
ubrzati,ubrzavati
ubrzavati,ubrzati
ucijeniti,ucjenjivati
ucjenjivati,ucijeniti
udahnuti,udisati
udaljavati,udaljiti
udaljiti,udaljavati
udariti,udarati
udati,udavati
udavati,udati
udisati,udahnuti
udomiti,udomljivati
udomljivati,udomiti
udružiti,udruživati
udvostručiti,podvostručiti
ugađati,ugoditi
ugibati,uginuti
ugoditi,ugađati
ugovarati,ugovoriti
ugovoriti,ugovarati
ugraditi,ugrađivati
ugrađivati,ugraditi
ugrijati,ugrijavati
ugroziti,ugrožavati
ugrožavati,ugroziti
ugušiti,ugušivati
ujedati,ujesti
ujediniti,ujedinjavati
ujesti,ujedati
ukazati,ukazivati
ukazivati,ukazati
ukidati,ukinuti
ukinuti,ukidati
uklanjati,ukloniti
uključiti,uključivati
uključivati,uključiti
ukloniti,uklanjati
ukopati,ukopavati
ukopavati,ukopati
ukorijeniti,ukorjenjivati
ukoriti,ukoravati
ukrasiti,ukrašavati
ukrasti,krasti
ukrašavati,ukrasiti
ukrcati,ukrcavati
ukrcavati,ukrcati
ukrštati,ukrstiti
uljepšati,uljepšavati
uljepšavati,uljepšati
uložiti,ulagati
umaknuti,umicati
umarati,umoriti
umetati,umetnuti
umetnuti,umetati
umirati,umrijeti
umisliti,umišljati
umiti,umivati
umišljati,umisliti
umoriti,umarati
umrijeti,umirati
unakaziti,unakazivati
unijeti,unositi
uniziti,unizivati
uništavati,uništiti
uništiti,uništavati
unositi,unijeti
uočavati,uočiti
uočiti,uočavati
upadati,upasti
upaliti,upaljivati
upasti,upadati
upijati,upiti
upisati,upisivati
upisivati,upisati
upiti,upijati
uploviti,uplovljavati
uplovljavati,uploviti
uposliti,upošljavati
upotrebljavati,upotrijebiti
upotrijebiti,upotrebljavati
upoznati,upoznavati
upoznavati,upoznati
upozoravati,upozoriti
upozoriti,upozoravati
upriličiti,upriličivati
upropastiti,upropaštavati
uputiti,upućivati
upućivati,uputiti
uraditi,raditi
uračunati,uračunavati
uračunavati,uračunati
urediti,uređivati
uresiti,uresivati
urezati,urezivati
urezivati,urezati
ureći,uricati
uručiti,uručivati
usaditi,usađivati
usavršavati,usavršiti
usavršiti,usavršavati
useliti,useljavati
usisati,usisavati
usisavati,usisati
uskratiti,uskraćivati
usmjeravati,usmjeriti
usmjeriti,usmjeravati
uspavati,uspavljivati
uspeti,uspevati
uspijevati,uspjeti
uspjeti,uspijevati
usporavati,usporiti
usporiti,usporavati
uspostaviti,uspostavljati
uspostavljati,uspostaviti
ustajati,ustati
ustanoviti,ustanovljivati
ustati,ustajati
ustrojiti,ustrojavati
ustupati,ustupiti
ustupiti,ustupati
ustvrditi,ustvrđivati
usuditi,usuđivati
usvojiti,usvajati
utajiti,utajivati
utanačiti,utanačivati
utapati,utopiti
utažiti,utoljivati
utemeljiti,utemeljivati
utoliti,utoljivati
potonuti,tonuti
utopiti,utapati
utovariti,utovarivati
utovarivati,utovariti
utvrditi,utvrđivati
uvaliti,uvaljivati
uvažavati,uvažiti
uvažiti,uvažavati
uveličati,uveličavati
uvesti,uvoziti
uvezati,uvezivati
uvećati,uvećavati
uvidjeti,uviđati
uviti,uvijati
uvjeriti,uvjeravati
uvježbati,uvježbavati
uvrijediti,vrijeđati
uvrstiti,uvrštavati
uvući,uvlačiti
uzbuditi,uzbuđivati
uzbuniti,uzbunjivati
uzburkati,uzburkavati
uzbuđivati,uzbuditi
uzdahnuti,uzdisati
uzdisati,uzdahnuti
uzdržati,uzdržavati
uzeti,uzimati
uzgojiti,uzgajati
uzimati,uzeti
uzjahati,uzjahivati
uzletjeti,uzlijetati
uzlijetati,uzletjeti
uzmaknuti,uzmicati
uzmicati,uzmaknuti
uznemiriti,uznemiravati
uzrujati,uzrujavati
uzrujavati,uzrujati
uzvikivati,uzviknuti
uzviknuti,uzvikivati
uzvisiti,uzvisivati
ući,ulaziti
učlaniti,učlanjivati
učvrstiti,učvršćivati
učvršćivati,učvrstiti
uspoređivati,usporediti
uštedjeti,ušteđivati
vagati,vagnuti
vagnuti,vagati
vezati,vezivati
vidjeti,viđati
vikati,povikati
viti,saviti
viđati,vidjeti
vjenčati,vjenčavati
vjenčavati,vjenčati
vjerovati,povjerovati
vratiti,vraćati
vrijeđati,uvrijediti
vriskati,vrisnuti
vrisnuti,vriskati
vući,vlačiti
zabadati,zabosti
zabaviti,zabavljati
zabavljati,zabaviti
zabijati,zabiti
zabilježiti,zabilježivati
zabiti,zabijati
zabliještiti,zablješćivati
zaboraviti,zaboravljati
zaboravljati,zaboraviti
zabosti,zabadati
zabraniti,zabranjivati
zabranjivati,zabraniti
zabrljati,zabrljavati
zabrtviti,zabrtvljivati
zabugariti,zabugarivati
zabuniti,zabunjivati
zabušiti,zabušivati
zacakliti,zacakljivati
zacijeliti,zacjeljivati
zadati,zadavati
zadavati,zadati
zadaviti,zadavljivati
zadesiti,zadešavati
zadiviti,zadivljavati
zadovoljavati,zadovoljiti
zadovoljiti,zadovoljavati
zadržati,zadržavati
zadržavati,zadržati
zadubiti,zadubljivati
zadužiti,zaduživati
zaduživati,zadužiti
zagaditi,zagađivati
zaglaviti,zaglavljivati
zaglibiti,zaglibljivati
zagorčati,zagorčavati
zagraditi,zagrađivati
zagrijati,zagrijavati
zagrijavati,zagrijati
zagristi,zagrizati
zagrliti,grliti
zahvaliti,zahvaljivati
zahvaljivati,zahvaliti
zahvatiti,zahvaćati
zahvaćati,zahvatiti
zakazati,zakazivati
zakinuti,zakidati
zaklanjati,zakloniti
zakleti,zaklinjati
zaklinjati,zakleti
zaključiti,zaključivati
zaključivati,zaključiti
zakloniti,zaklanjati
zakopati,zakopavati
granjavati,granuti
zalediti,zaleđivati
zaliti,zalijevati
zaljubiti,zaljubljivati
zalomiti,zalamati
založiti,zalagati
zamaknuti,zamicati
zamijeniti,zamjenjivati
zamisliti,zamišljati
zamišljati,zamisliti
zamjenjivati,zamijeniti
zamjerati,zamjeriti
zamjeriti,zamjerati
zamrziti,mrziti
zamrznuti,zamrzavati
zanemariti,zanemarivati
zanemarivati,zanemariti
zaokružiti,zaokruživati
zaorati,zaoravati
zaostajati,zaostati
zaostati,zaostajati
zapadati,zapasti
zapamtiti,pamtiti
zapasti,zapadati
zapaziti,zapažati
zapažati,zapaziti
zapisati,zapisivati
zapisivati,zapisati
zaposliti,zapošljavati
zapovijedati,zapovjediti
zapovjediti,zapovijedati
zapošljavati,zaposliti
zapregnuti,zaprezati
zapustiti,zapuštati
zapuštati,zapustiti
zaraditi,zarađivati
zaratiti,zaraćivati
zaračunati,zaračunavati
zaračunavati,zaračunati
zarađivati,zaraditi
zaredati,zaredavati
zarediti,zaređivati
zasaditi,zasađivati
zasađivati,zasaditi
zasjeniti,zasjenjivati
zasloniti,zaslanjati
zaslužiti,zasluživati
dovršavati,dovršiti
zasluživati,zaslužiti
zastajati,zastati
zastati,zastajati
zastrašiti,zastrašivati
zastrašivati,zastrašiti
zastupati,zastupiti
zatajiti,zatajivati
zatalasati,zatalasavati
zataškati,zataškavati
zatomiti,zatomljivati
zatomljivati,zatomiti
zatvarati,zatvoriti
zatvoriti,zatvarati
zaustaviti,zaustavljati
zaustavljati,zaustaviti
zauzdati,zauzdavati
zauzeti,zauzimati
zauzimati,zauzeti
zavarati,zavaravati
zavaravati,zavarati
zavesti,zavoditi
zavezati,zavezivati
zavidjeti,zaviđati
zaviriti,zavirivati
zavirivati,zaviriti
zaviđati,zavidjeti
zavladati,zavladavati
zavoditi,zavesti
završavati,završiti
završiti,završavati
zavući,zavlačiti
zaći,zalaziti
začarati,začaravati
začeti,začinjati
začuditi,začuđivati
zašiljiti,zašiljivati
zaštititi,zaštićivati
zaštićivati,zaštititi
zbijati,zbiti
zbiti,zbijati
zbivati,zbiti
zbližiti,zbližavati
zbrajati,zbrojiti
zbrinuti,zbrinjavati
zbrojiti,zbrajati
zbuniti,zbunjivati
zbunjivati,zbuniti
združiti,združivati
zgrijati,zgrijavati
zgrnuti,zgrtati
zgroziti,zgražati
zgrušati,zgrušavati
zgusnuti,zgušnjavati
zgušnjavati,zgusnuti
zidati,dozidati
zijevati,zijevnuti
zijevnuti,zijevati
zjapiti,zjapnuti
zloupotrijebiti,zloupotrebljavati
čupati,iščupati
čučati,čučnuti
šapnuti,šaptati
šaputati,šapnuti
šiti,šivati
šivati,šiti
štipati,štipnuti
štucati,štucnuti
ščepati,ščepavati
coprati,čarati
gonjati,goniti
javiti,javljati
javljati,javiti
jecati,jeckati
ječati,jeknuti
navraćati,navratiti
naštancati,štancati
otprti,otpirati
podmetati,podmetnuti
podmetnuti,podmetati
poučiti,izučiti
pregristi,pregrizati
premjestiti,premještati
premještati,premjestiti
prispjeti,sazreti
zanovijetati,prigovarati
češljati,počešljati
beknuti,bekati
gasiti,ugasiti
izvješćivati,izvijestiti
narasti,rasti
navesti2,navoziti
okrivljivati,okriviti
oporezivati,oporezovati
paliti,zapaliti
podudarati,podudariti
podvoditi,podvesti
pribadati,pribosti
razlamati,razlomiti
sagledati2,sagledati
sapletati,saplesti
svesti2,svoditi
ublaživati,ublažiti
ugledati,gledati
ulizivati,ulizati
uobražavati,uobraziti
uspinjati,uspeti
ustrajati2,ustrojiti
uvoditi,uvesti
jašiti2,jahati
prestizati,prEstignuti
pokupovati,pokupiti
doricati,doreći
namještati,namjestiti
