bacati,baciti
kupiti,kupovati
kupovati,kupiti
latiti,laćati
leći,ležati
lijevati,liti
lipsati,lipsavati
liti,lijevati
lizati,liznuti
lišavati,lišiti
lišiti,lišavati
mahati,mahnuti
mahnuti,mahati
maknuti,micati
malaksati,malaksavati
metnuti,metati
micati,maknuti
mukati,muknuti
nabaciti,nabacivati
nabasati,nabasavati
nabaviti,nabavljati
nabavljati,nabaviti
nadati,ponadati
nabijati,nabiti
nabiti,nabijati
nabosti,nabadati
nabrati,nabirati
nabrojati,nabrajati
nacrtati,nacrtavati
nadahnuti,nadahnjivati
nadjačati,nadjačavati
nadjačavati,nadjačati
nadjenuti,nadijevati
nadmašiti,nadmašivati
nadmašivati,nadmašiti
nadograditi,nadograđivati
nadograđivati,nadograditi
nadoknaditi,nadoknađivati
nadoknađivati,nadoknaditi
nadopuniti,nadopunjavati
nadovezati,nadovezivati
naduti,nadimati
nadvisiti,nadvisivati
nadviti,nadvijati
nadvladati,nadvladavati
nadživjeti,nadživljavati
nagađati,nagoditi
naginjati,nagnuti
naglasiti,naglašavati
naglašavati,naglasiti
nagnuti,naginjati
nagoditi,nagađati
nagovarati,nagovoriti
nagovijestiti,nagovještavati
nagovoriti,nagovarati
nagraditi,nagrađivati
nagrađivati,nagraditi
nagrditi,nagrđivati
nagristi,nagrizati
nagrizati,nagristi
nagrnuti,nagrtati
nahrupiti,nahrupljivati
naići,nailaziti
najaviti,najavljivati
najuriti,najurivati
naklanjati,nakloniti
nakloniti,naklanjati
naknaditi,naknađivati
nakupiti,nakupljati
naljutiti,naljućivati
namaknuti,namicati
namamiti,namamljivati
nametati,nametnuti
nametnuti,nametati
namijeniti,namjenjivati
namočiti,namakati
naoblačiti,naoblačivati
naoružati,naoružavati
naoružavati,naoružati
napadati,napasti
napasti,napadati
napeti,napinjati
napijati,napiti
napinjati,napeti
napiti,napijati
napomenuti,napominjati
napominjati,napomenuti
napustiti,napuštati
naručiti,naručivati
naručivati,naručiti
nasamariti,nasamarivati
naseliti,naseljavati
naslijediti,nasljeđivati
nasljeđivati,naslijediti
nasloniti,naslanjati
naslutiti,naslućivati
nasmijati,nasmijavati
nasmijavati,nasmijati
nasrnuti,nasrtati
nasrtati,nasrnuti
nastajati,nastati
nastaniti,nastanjivati
nastanjivati,nastaniti
nastati,nastajati
nastaviti,nastavljati
nastavljati,nastaviti
nastupati,nastupiti
nastupiti,nastupati
natjerati,natjeravati
natkriliti,natkriljivati
natopiti,natapati
navaliti,navaljivati
navaljivati,navaliti
navikavati,naviknuti
naviknuti,navikavati
navlažiti,navlaživati
navoditi,navesti
navoziti,navesti
navratiti,navraćati
nazdraviti,nazdravljati
nazdravljati,nazdraviti
nazivati,nazvati
nazvati,nazivati
naći,nalaziti
načeti,načimati
nestajati,nestati
nestati,nestajati
nesti,nositi
nicati,niknuti
niknuti,nicati
nosati,nositi
nositi,nosati
noćiti,noćivati
obasuti,obasipati
obavijati,obaviti
obavijestiti,obavještavati
obaviti,obavljati
obavljati,obaviti
obdariti,obdarivati
obeshrabriti,obeshrabrivati
obezglaviti,obezglavljivati
obećati,obećavati
obećavati,obećati
obeščastiti,obeščašćivati
obgrliti,obgrljivati
obijati,obiti
obilježiti,obilježavati
obistiniti,obistinjavati
obiti,obijati
obići,obilaziti
objasniti,objašnjavati
objaviti,objavljivati
objavljivati,objaviti
objašnjavati,objasniti
objediniti,objedinjavati
objedinjavati,objediniti
objelodaniti,objelodanjivati
oblizati,oblizivati
oblizivati,oblizati
obmanjivati,obmanuti
obmanuti,obmanjivati
obnavljati,obnoviti
obnoviti,obnavljati
obogatiti,obogaćivati
obogaćivati,obogatiti
oboriti,obarati
